num_nodes,num_edges,runtime
545,2817923,5.45
792,1306543,63.96
798,2742372,105.3
1099,2401430,2270.45
1485,2939591,1519.19
426,894130,15.77
1343,2376700,2201.47
316,2313289,1.76
1225,1909905,166.05
623,2265676,38.95
274,80221,3.15
590,480869,168.03
956,2313317,281.33
724,2919300,3.97
814,1291225,157.22
932,332525,143.12
393,2035462,8.84
251,2401593,4.2
1268,1091668,2308.32
108,1266956,0.33
447,2728062,42.27
501,1664557,55.17
1261,260684,367.29
964,3106943,214.59
698,316250,86.87
750,214448,56.25
970,2762534,201.22
344,3086556,4.08
113,2608876,0.27
1550,1228280,1010.84
209,1618639,0.51
1088,3210432,227.38
1489,1285199,3462.87
721,1385066,21.12
769,1151835,33.88
1015,1138948,100.7
589,1067742,3600
239,1310171,18.41
390,719672,5.94
964,602104,62.99
1452,693532,3600
365,2915274,2.32
298,72274,12.93
833,2250553,33.28
1385,2543727,181.96
1178,1259182,2652.62
672,877550,144.11
206,2864883,0.74
1050,946896,1113.65
1525,1209769,109.81
295,404912,3.85
872,1385928,162.26
391,2418774,17.43
1516,711363,330.09
1193,1419974,316.61
859,3114135,416.84
1068,3192185,381.93
1294,2819662,525.04
144,1440944,0.57
510,473362,194.34
171,2761476,0.65
519,2981189,45.28
329,425382,1.89
764,1578600,54.5
315,581550,5.63
975,1799712,800.03
997,724784,3600
1017,416937,160.21
688,2942743,86.04
566,753346,44.08
579,327445,33.02
1050,967151,326.77
823,2996453,50.94
775,3124629,331.39
670,1895020,181.05
758,2497104,432.92
217,1261632,10.63
716,718210,48.85
839,2374493,170.63
881,339607,2473.82
736,2008478,8.85
251,409114,1.16
1351,2047351,595.76
492,538469,40.87
1146,1668452,68.88
1584,1136694,3301.47
1206,2729278,977.0
210,3113004,7.83
660,3005305,45.51
1210,1502668,467.46
847,2247453,262.42
975,2860445,382.15
1554,2863318,1008.22
944,1378555,490.75
831,2169967,143.91
848,1075994,122.81
114,73025,0.2
415,1655807,10.13
1470,3006987,557.51
1094,585194,785.09
1287,1191533,717.34
766,614051,200.15
551,395369,4.74
1089,2442796,36.19
469,1802367,109.99
1153,2937746,66.24
1355,1240583,2134.29
762,2875667,144.77
968,2061423,292.82
1515,420164,1377.58
1324,3100171,1813.86
1241,1949306,1509.69
1454,3075641,218.43
1297,52500,433.14
1251,686700,93.52
1350,1120725,3190.29
1216,287684,135.9
128,602253,0.84
1069,1169331,58.89
980,2179487,147.52
1232,1146715,345.66
1362,417018,1377.88
233,2654115,0.88
1269,168712,755.66
586,2877662,182.69
864,1833054,235.43
1019,1763710,110.04
428,2845557,12.58
1337,2053614,393.47
419,169927,29.18
280,1308229,1.62
1404,1939703,3600
233,108678,0.6
1355,999428,3122.92
1374,1974476,3600
1424,2443014,780.36
513,257546,148.33
189,2432414,0.83
1593,2640390,3600
1564,1629464,3600
395,1018021,2.18
1045,1926817,444.79
116,2617528,0.61
1374,565085,156.09
1309,1285773,1156.52
628,1561554,173.0
106,1539130,0.3
1314,3191616,1350.08
1169,186898,1908.76
1098,166389,221.68
1025,1722072,105.63
570,2790070,44.85
297,961241,9.24
1021,2877275,112.73
489,1628880,94.08
333,2008524,8.71
1068,113477,1148.05
1513,2914692,777.68
814,1769744,695.63
433,139503,3.72
1391,1125174,377.22
613,825544,4.71
1159,1489489,913.03
1085,2858026,704.38
1526,2075244,389.41
907,917250,501.22
1529,123037,3266.28
825,1675356,12.59
385,2774493,31.03
584,2524675,65.12
473,116468,21.45
1475,2503771,3062.33
1586,2192115,3600
1455,3063009,484.59
1396,2307843,421.55
1264,1284675,887.24
126,854985,0.87
456,1596851,21.25
685,1073612,295.85
1423,606690,1102.64
343,1518707,8.99
393,1191427,4.3
1187,2707785,308.52
242,749623,0.86
301,1671965,2.08
747,206335,21.08
525,2924450,24.18
1037,1687850,29.2
1236,1481416,165.99
1286,1112371,3600
937,2282481,332.16
1127,381619,257.48
1211,2064107,722.48
510,2807537,32.75
773,520741,690.18
1417,2013807,2934.07
959,2696619,173.4
932,2688063,743.12
824,2974746,656.46
710,2660921,11.06
627,2110849,1094.8
1547,1042589,3600
666,2412246,6.8
831,2982528,351.82
1570,1187981,1885.91
1197,400584,3316.23
372,1422199,46.32
555,2137093,29.24
1038,2416149,474.12
980,791727,397.29
807,2213703,420.5
1315,676425,772.49
823,982059,90.21
1364,1386100,1653.52
1136,2900662,264.61
682,1477012,359.11
604,651637,60.02
569,3085000,69.58
1552,2620896,3600
1522,3265128,3600
626,586906,57.26
1299,2528098,588.82
570,796948,45.98
1333,215196,1278.15
1597,2563442,2730.86
1192,963650,240.8
278,3164943,2.25
465,2253545,58.78
745,1645587,134.86
180,2588800,0.62
1427,1296310,3600
605,2179946,191.05
412,3043885,134.74
129,2666096,0.48
1596,955162,329.09
1051,2242439,364.72
900,1710612,241.0
1539,2674805,2154.04
466,1667357,28.87
112,1554521,0.7
1375,227315,458.17
359,1835840,8.55
425,686169,7.56
1410,1885379,275.88
1231,2180387,53.61
619,61156,28.48
561,2411144,87.55
593,1980007,109.22
1316,1796339,459.79
887,3161956,89.82
374,1288462,53.53
499,952532,37.07
246,2098755,6.61
1057,18112,25.99
1076,2218369,331.93
947,2086339,1155.12
159,2458580,0.46
998,683835,1782.22
596,156156,111.82
541,3246948,187.99
1208,269681,665.6
182,972762,1.44
1567,1624651,1571.23
1284,774100,603.74
1209,1899756,35.82
712,267737,342.67
1418,94575,637.26
1235,1431431,767.56
106,620662,0.31
591,1472359,25.96
823,2826704,240.16
820,1361439,44.41
237,1572376,1.48
603,2115345,8.98
242,261829,2.78
1263,1739626,1949.4
726,2465067,8.02
1044,2009832,152.2
830,1200048,388.45
1242,2156262,231.23
1466,2586450,437.26
363,896278,44.7
1377,2001637,842.36
311,944893,26.74
681,1759446,180.24
1085,71032,311.75
1450,3219691,335.27
1444,2837946,77.18
902,178679,167.07
124,2323698,1.36
1402,2768136,310.08
872,3098173,248.11
1315,2694351,1013.6
1279,252632,603.52
1271,1414512,2182.4
827,3063212,23.73
994,2313048,1097.82
573,2239344,27.47
1465,1509370,378.77
1388,3173782,2196.14
241,392993,1.29
1552,2653411,1855.63
294,447755,1.43
986,1530388,44.58
1357,695255,1717.63
610,1832459,86.99
1239,37627,3061.35
882,364802,294.34
344,2509355,42.13
917,2042199,64.69
907,930230,95.73
1080,1052450,49.87
607,1779781,42.52
765,452106,293.74
1234,1469253,261.52
1076,3109050,498.61
926,3074950,153.82
1172,912259,3600
438,3049226,2.73
651,313101,13.64
1009,1403248,460.26
1293,603628,887.04
1568,1165064,533.54
855,478353,200.56
765,62237,252.87
1366,3034825,564.29
1312,253702,2074.28
1419,339203,2409.65
1219,1927628,611.93
791,2611772,52.38
298,3109922,2.94
598,740429,20.38
1361,706888,723.57
816,1398850,46.93
1529,1937662,496.94
537,2728761,27.03
659,1395496,20.83
682,1481867,25.29
1056,1509207,170.22
321,950676,3.08
310,1261384,9.72
852,2726193,130.36
759,785654,112.61
837,2029438,92.09
1074,2827366,120.55
459,1914845,19.4
1209,2434259,217.81
389,3212207,62.91
753,776595,193.97
1338,532114,1475.46
724,639550,70.95
1540,2039482,211.48
1067,122999,23.88
741,2893523,134.34
1349,447400,2117.88
1465,1478935,407.18
1063,2845386,159.38
984,2289449,55.8
387,2781105,51.79
1564,238655,2632.89
989,2356950,461.5
1407,1187500,3600
958,1546187,124.37
1477,876171,2708.34
1193,1616759,550.09
936,1014659,257.3
787,2046160,254.59
657,2922514,142.09
701,2212817,472.81
1595,2908528,434.13
375,542245,23.16
358,2871770,17.3
160,778056,0.53
1428,142795,669.61
1406,2632632,3600
184,2575607,2.26
520,1096335,2.46
182,1185326,8.87
698,2850257,5.16
725,521041,118.26
627,3060796,282.03
895,2026017,103.89
1391,2679526,1000.5
1128,1398884,142.73
1087,422115,44.64
329,3183419,17.51
324,2747803,3.67
509,260193,42.14
234,2918821,11.75
212,1042429,10.4
641,3085893,32.83
1543,60054,1253.72
922,1752201,480.76
1193,1968953,1013.14
1410,1697308,632.8
346,2514857,10.13
1302,416229,3600
866,1554832,380.76
238,2250654,2.52
601,3073382,49.11
772,774469,11.81
643,3044123,17.52
1537,692182,1301.56
1429,1318025,2271.29
1517,326092,120.2
1267,311392,448.37
803,2598270,155.61
1246,882824,2354.56
1168,2040173,72.31
371,3261173,5.32
397,1797075,4.05
337,1153287,35.87
236,2721887,2.59
331,121606,6.77
1182,2089037,381.92
963,1027490,112.72
462,706884,22.33
876,1183150,86.04
1543,787895,344.72
303,1885548,8.96
1419,1229810,3600
103,2344865,0.2
714,2412321,236.87
1416,1143128,262.11
1588,886534,3600
239,1892621,1.65
702,1184014,217.04
1328,1353395,1096.99
1064,1804714,220.81
1211,2219492,179.02
140,3036408,0.76
471,308335,22.41
1371,1523978,1749.39
1406,3054659,659.75
269,2010208,0.98
405,3159,49.14
1194,3071266,58.76
1443,2472047,3600
287,24328,0.9
749,1178643,283.0
315,2196714,16.53
574,1231972,52.41
1059,646601,128.16
1087,1466500,544.19
1121,749939,688.37
1147,628078,497.01
1062,1150100,1236.17
871,2899371,27.4
596,2031414,79.33
1170,2047010,387.08
938,3194921,43.12
415,3199453,5.18
777,2039818,30.51
131,655275,0.54
575,2563496,20.38
518,1698500,95.32
351,2776616,10.4
278,629281,2.91
540,227512,8.93
753,175546,106.61
964,880850,159.49
595,649237,194.67
1117,451493,65.07
380,1740100,58.33
1402,2146437,340.31
1035,1070959,329.23
1383,358300,572.49
420,34856,7.38
1558,2793006,3600
269,1225739,0.64
673,48793,42.26
870,2692109,1089.79
594,1555817,47.87
442,1453201,29.51
767,569692,55.78
481,2699341,34.83
566,2000429,4.16
153,926353,15.17
1497,64246,410.75
904,2333602,613.9
1490,1294198,1448.38
941,670412,119.56
1098,479103,184.91
689,1685148,80.06
1513,2510032,343.63
1040,2274331,392.17
1245,1356395,34.65
1438,1094689,313.42
289,619816,2.12
430,3172807,19.79
923,681025,187.16
558,2807958,51.28
478,1131295,15.89
285,2964713,31.56
1266,891727,276.19
296,294959,2.44
1162,2430030,369.4
408,845633,14.14
1012,2254828,12.46
559,1029035,41.64
1098,1512133,45.95
1578,3174488,282.4
760,1440005,65.08
1444,811790,2600.13
111,2012258,1.2
482,775114,6.32
1178,2956643,107.41
909,2521709,20.85
1024,3199250,1087.59
219,290762,1.14
788,1051925,102.51
1309,1367918,1425.64
1185,2032787,301.03
103,2181465,0.26
1380,1970643,154.24
1466,3274587,79.71
1242,2673640,2775.53
1405,2249506,87.28
894,941306,11.21
514,2224195,48.84
1591,28239,2479.22
234,2996078,18.22
155,790220,1.32
110,1423978,5.72
782,2404570,98.13
218,1623971,1.73
944,2287023,203.48
1271,1035282,162.71
418,2870327,26.31
1446,2808782,2162.1
1366,3173946,330.45
1382,1945024,374.38
701,331669,241.2
761,1327796,33.09
919,1738630,90.59
914,3239160,2909.76
806,1058587,20.29
1517,1406922,575.02
747,1197196,34.76
645,981248,59.07
416,244554,2.52
1462,1947344,2757.65
825,1991698,29.55
1174,1079967,1201.15
132,2499197,0.42
317,396081,12.97
549,536560,7.63
877,349180,169.31
621,1384963,48.2
1419,1576081,208.45
1140,434388,1005.41
1076,3024054,3600
1000,79230,561.0
1036,974617,403.16
193,1012282,0.76
1561,1230861,1091.59
998,3174185,485.98
642,2246851,86.78
743,2011501,131.63
251,1145260,3.18
929,2414037,3600
1329,2891150,782.6
1418,1495575,1785.8
217,177728,1.18
679,3217196,60.59
335,2340946,5.44
328,929596,11.58
540,238568,55.18
676,1027271,92.58
922,2276373,378.81
221,3156073,10.42
987,3043220,1361.09
871,121937,641.58
1060,2040840,409.53
1240,556917,396.57
1307,413907,2894.56
688,3141253,19.58
783,512242,154.91
542,348107,24.41
1346,2456569,668.72
435,2897267,86.85
667,1275506,33.78
1541,2569253,405.35
519,3235769,9.92
466,2667712,45.84
227,526579,23.64
1312,352049,317.71
1278,263356,1132.43
965,1402990,889.21
829,2022453,168.5
732,1264218,17.45
944,769015,93.07
1456,1181621,3600
824,1058525,590.99
187,1617386,0.86
1511,1072620,1825.44
562,3019203,10.15
715,2915218,319.56
883,1425525,1721.74
1377,2781509,3600
1562,2150404,940.14
546,2547703,16.04
639,3098138,27.88
1454,945211,549.4
135,2937775,0.37
1377,1089576,453.49
1232,1578158,166.97
1362,2245926,753.2
1252,1769365,155.49
941,110153,143.6
610,53100,52.8
1318,1598406,283.77
449,1460581,6.27
839,3265959,60.39
846,1127540,367.81
604,3253746,34.29
620,2905968,93.69
773,315370,42.52
778,2694389,100.59
922,1996173,607.34
1023,1850942,458.11
1595,1700695,1078.58
818,1185281,23.99
626,1760589,19.97
618,815092,23.6
993,1602887,79.13
934,3213093,54.21
1062,3243024,989.14
614,2424423,3.52
1207,2568689,675.27
791,2226816,31.66
275,2080407,21.61
566,3156221,366.04
1437,1070907,183.62
1268,1211430,1207.86
427,1037720,3.25
1318,2152034,2398.96
1431,1797725,614.15
1403,314615,3600
450,3170847,82.82
1147,3106445,288.54
806,1703991,152.84
858,3043760,237.37
1164,2909052,250.51
520,1959544,28.97
1097,2258688,1551.83
1308,625860,513.85
609,1844761,54.8
892,1377340,266.3
703,897760,198.93
165,2792135,2.19
803,2258550,24.88
1150,2610097,705.06
1329,2772701,843.33
1492,3201226,822.52
1485,1879505,1564.45
530,222134,58.45
1111,199650,725.9
963,3151643,176.85
1109,1370543,354.11
770,555912,69.15
534,1806278,27.72
1449,2394406,1273.7
790,1270831,574.77
747,1783017,236.39
918,1828825,227.75
1559,1515081,3600
984,348190,39.64
1198,906129,241.79
968,1270118,98.91
165,1629685,0.84
764,948328,58.13
952,932239,11.74
882,2784749,358.22
1390,975719,3600
1075,1797895,431.98
218,2141914,1.39
991,703356,54.15
583,755641,7.52
555,962888,78.41
648,2994358,19.1
537,1845192,400.45
698,1639319,144.98
1001,2974221,101.6
1421,275977,192.93
1547,3176141,1612.01
1008,2301780,79.57
416,2057701,64.78
1555,1894703,1097.37
1507,653475,428.34
1345,819885,891.55
277,799616,18.54
1489,1309614,916.62
502,350487,34.9
1150,2878307,151.57
446,2253977,22.47
142,741523,0.95
929,433217,65.39
1188,1243111,121.97
113,1201043,0.23
845,3113594,170.45
1492,3130976,3600
1113,1327551,3600
442,156094,17.9
1022,1215402,595.33
645,3243529,263.42
1082,1558025,816.59
849,2906300,297.76
1190,423893,346.14
1596,2836128,3392.55
833,279553,156.21
1035,1469106,51.48
628,349418,127.18
1115,2589670,64.89
1459,2845495,504.15
556,533743,23.18
855,2361673,58.96
1384,1666207,41.94
628,188437,8.63
1144,1468020,324.99
916,2247217,96.84
106,172480,0.21
1181,660664,355.74
777,606534,35.33
882,294313,16.88
811,1217732,24.96
966,2047902,19.89
977,567952,228.39
995,1669007,474.72
1543,78068,671.35
169,816162,0.96
144,1465055,0.52
129,2647015,0.43
902,912753,71.97
1162,2475828,733.89
674,1275896,12.13
592,2817363,5.57
160,795275,0.68
270,2464342,1.9
193,637531,0.64
1223,2962577,677.87
546,71214,5.95
435,482273,4.16
1578,549692,1443.09
1079,2722514,499.22
899,1731538,165.37
918,1128224,271.44
1150,1306515,797.4
1527,53296,2048.86
664,1648605,91.89
506,473463,77.6
1110,1227694,1555.99
1114,1323939,415.33
857,478407,125.46
1335,2948964,1312.79
1342,2473050,1761.71
345,1691612,65.01
1176,2456862,1400.13
208,557612,9.8
964,150962,68.39
711,1880956,125.81
257,1860343,14.29
142,1514554,2.68
573,1811412,52.23
1588,910039,838.16
1328,2941128,402.08
1261,726159,541.26
1447,1401851,464.62
1216,2178662,357.63
1042,184957,168.59
799,621318,126.6
980,2790835,99.29
456,565554,8.94
1479,523512,625.34
823,2654013,275.09
109,1370730,0.2
1171,653829,424.6
210,1115075,2.2
947,2370020,126.87
366,1630457,14.95
691,14053,157.1
164,1597732,0.4
221,2940452,3.14
146,779754,3.05
1086,2890702,1781.73
1274,21468,551.92
1296,2585086,1250.2
105,2865496,0.74
236,118141,0.89
906,582673,44.75
1158,710466,346.35
739,1037393,22.79
1387,1793895,3600
1426,814646,93.96
246,871515,2.19
946,3165216,116.4
631,2858935,386.92
441,1404123,7.61
767,2806005,34.24
835,576266,8.71
462,1509703,5.92
358,1108263,10.72
1538,1968069,2915.12
853,133793,200.23
801,1070448,621.64
262,3078445,3.64
1296,2901925,226.4
1181,529337,68.05
1460,950981,2592.46
678,2557175,6.05
1144,2551384,1898.68
1320,1350568,3600
1381,525271,373.84
1073,387168,773.04
1511,1653335,529.85
693,1862821,17.48
652,902306,174.41
148,1094517,5.23
245,1668103,2.04
516,219076,24.27
1450,1196764,765.16
1031,2286132,1121.77
467,867964,46.07
892,940872,85.26
1123,493653,252.38
1324,1407900,550.44
254,964808,40.3
1468,612873,3600
1069,1238931,67.22
865,1803971,255.68
210,3168024,12.2
1266,2788127,141.76
1265,566289,274.28
1211,1990031,154.04
1216,1917362,97.16
364,2017942,3.05
753,431746,222.56
747,3105880,56.07
1443,2086619,661.77
1430,1887432,3600
201,69680,9.11
894,1695677,231.11
1274,2243956,3600
495,503898,355.15
237,512887,5.11
427,741436,2.82
1383,1195391,240.19
1075,1046631,386.22
156,381942,0.71
1219,1879353,466.14
342,2204271,3.16
1027,817823,585.8
1217,2283691,3600
501,2152883,37.18
622,1154344,35.19
1040,200660,94.1
718,89150,236.5
1267,2285925,1193.87
559,1019875,30.9
1290,1039643,126.36
1346,2037778,980.77
428,1197453,20.89
1156,1830440,526.16
517,3140992,97.78
509,3069828,77.49
416,2059142,127.1
639,1977860,37.49
597,1384453,15.02
1536,2333664,484.48
823,2851207,180.17
174,567792,2.05
256,1239608,3.07
880,443839,135.31
842,612457,94.72
796,360209,101.47
968,630424,22.18
1129,1844526,142.65
1143,2012572,374.05
1218,2777536,3600
1439,347345,78.43
271,2189758,14.3
871,910759,279.81
751,921945,351.83
712,1218277,75.12
687,2240165,12.03
1435,504,60.3
1541,60798,650.4
771,1696570,274.19
277,1545977,40.17
276,1186401,45.44
1117,310247,20.49
792,768667,256.39
1408,1343887,3600
712,3207287,78.86
1012,831181,185.66
102,582648,0.34
703,346900,238.7
859,175672,637.55
1210,2110270,650.73
970,2110192,997.38
693,700229,63.66
1429,1788906,2364.58
847,1247515,311.84
462,2421085,40.71
1048,451750,50.24
1488,1539662,2380.17
614,1973006,92.82
915,428787,258.27
450,2430871,2.86
664,1730393,33.24
1061,2172065,317.4
766,2546051,19.59
476,635775,56.01
1284,1540129,969.69
106,892106,0.24
1500,1725603,1531.86
682,2189875,176.11
986,2494509,587.41
575,3020534,71.43
1355,2749757,3600
1144,740923,63.34
871,2557271,2146.08
668,3237414,331.08
726,3084983,55.75
434,3061807,82.16
1504,2847054,762.34
1521,914542,673.41
1386,3121635,167.49
201,1499739,1.47
1428,1020500,375.07
1119,1954270,2532.78
163,240478,4.04
345,2277823,4.19
581,3258579,40.19
348,3009868,2.11
769,2833469,305.41
687,636657,53.08
1217,2200414,1220.48
536,1488614,38.18
454,433920,27.78
419,597591,25.57
730,855707,27.23
1412,832385,1320.67
1567,3124726,90.18
1358,2631308,1720.03
126,1678982,2.76
811,691212,65.13
1182,1731846,1007.26
423,2845672,29.92
1131,153362,118.54
1102,886687,161.09
1307,1564757,3600
1130,510900,417.22
1206,1103462,276.12
1224,2549481,194.4
402,1524318,31.48
1512,2793990,455.34
1371,1292268,3400.73
1034,2563203,59.28
904,2905293,857.22
1330,2937456,85.59
1089,1801906,1070.08
175,1213476,1.67
317,542600,2.9
656,2598220,67.9
1482,292446,503.82
1585,1755189,817.0
664,1255944,90.94
878,753743,325.26
604,1339029,11.5
1384,2761675,2656.01
201,3269267,6.53
774,146542,21.14
1342,1873991,805.64
231,719671,0.93
1008,2684304,258.02
107,2066071,0.44
1277,241139,1212.9
1194,1291153,467.76
1440,1889622,1070.9
945,1817628,724.78
873,598136,68.82
931,805098,58.78
805,1373419,137.67
199,3198350,8.98
126,1561923,0.49
1013,2977539,618.17
538,933150,15.02
1273,801181,651.5
288,3139567,2.84
631,2568940,33.58
953,3018596,43.99
606,2764954,110.78
673,809691,39.45
919,1387342,96.78
405,1134742,15.39
1448,1979542,123.26
1392,3242613,1207.52
794,186967,69.73
1157,338863,74.7
1416,629648,2968.39
567,2711587,115.58
936,1590253,210.71
1138,156625,76.37
1024,3022031,97.08
1143,2389356,1652.94
683,2316387,471.02
138,1956628,0.34
742,2215068,132.94
1522,1221603,1636.29
1545,802132,341.52
472,1973882,4.1
1460,1686825,3600
997,1021204,422.48
1354,892378,49.9
705,2709664,67.6
1177,2376314,32.06
1067,2998650,99.4
343,1524424,13.74
225,2023266,1.03
496,532196,27.4
507,1088008,104.59
1267,1994850,3600
1204,2443453,253.15
1111,693432,378.04
1044,2369270,47.73
370,279717,16.9
132,144180,0.45
967,1006157,212.87
128,256625,0.61
762,2830414,62.59
676,1995312,13.54
563,2605882,45.44
635,1899021,130.07
856,2862465,450.5
1188,2047925,191.18
694,2590725,83.93
1084,1504545,1009.69
832,1741786,157.37
368,2011535,13.01
268,355803,3.9
237,1138816,0.81
1024,2564063,408.04
143,2172764,1.01
790,1307477,217.04
920,3053058,352.3
338,2864423,2.5
1368,1890825,526.66
1156,711058,764.63
1323,1675179,3435.19
910,2722193,85.07
447,883025,16.7
1035,3018812,208.7
1009,2363037,565.74
735,3236037,49.86
1322,923359,3600
443,1595031,4.34
1388,2803521,73.26
528,498226,17.91
1352,2463593,2202.26
1465,748379,404.83
543,3197225,74.03
817,1048379,279.87
808,1872246,9.77
1318,743690,113.19
1045,2917035,377.67
724,795742,169.84
113,359422,0.5
736,597891,118.3
715,1132692,408.64
407,523910,48.55
591,129125,18.97
770,2078279,183.87
1317,983953,87.79
1233,3020071,291.41
1087,2928486,38.99
1567,1854633,802.44
1597,1738667,3600
357,2194806,6.2
1513,1088338,933.1
1072,2100060,68.47
738,1834089,3390.8
1382,1284901,2410.57
996,2789061,1576.61
569,1174988,16.22
786,1348202,25.12
207,2845115,0.64
106,896866,0.26
861,1944679,366.89
337,1905518,9.42
1472,2565226,72.61
1432,3165555,88.4
110,1389636,0.44
1436,1604794,328.72
1526,2775645,1552.78
1585,1396326,3600
390,2237239,55.18
867,34538,523.28
1165,1775682,245.74
384,2466700,8.72
228,1857612,1.63
221,208437,1.68
686,275940,32.8
1162,256234,831.9
1490,1840940,1315.61
340,853865,2.15
674,3223598,49.41
597,1715846,81.12
1491,2353131,1057.33
810,1276560,59.49
429,1914242,3.03
412,1718564,17.06
832,1091568,21.83
941,2226531,582.0
907,116395,74.46
252,1005683,1.19
432,2877597,45.31
1079,1025904,27.96
1571,2062261,3022.63
1518,725991,1172.78
418,795457,11.09
1386,661691,1219.92
382,726303,95.93
913,1311400,182.92
407,902285,2.5
1434,2196407,3600
244,2658029,4.18
501,324202,32.74
1188,904221,605.31
799,1315462,10.84
413,1996905,14.32
1441,2508530,250.34
1320,361332,317.04
813,1814698,149.26
1266,1461911,2356.65
534,787347,33.69
648,2791775,16.57
903,1600248,48.16
833,491271,217.94
283,2954040,3.4
692,2870049,83.05
666,2077895,28.69
1108,2157562,3600
1382,2269711,393.94
689,1760189,60.65
349,632762,7.75
401,2960994,1.41
814,637310,174.22
1222,188360,1333.49
389,744843,20.02
347,3092400,7.03
1246,619987,385.26
414,2574612,14.9
313,2317875,2.6
1200,2345625,367.47
689,1504412,537.95
266,1722565,14.35
213,3221862,21.75
1597,2865709,1519.78
777,2526812,154.21
800,1486637,132.99
1071,1349803,276.58
125,2030342,0.26
1391,2242335,1896.02
357,1917309,5.87
176,778520,0.99
231,2643306,9.73
770,3163363,239.34
513,1335507,90.98
1029,2814026,1017.52
425,55571,8.01
1243,1645590,1391.22
807,2752950,569.96
726,225233,61.35
1357,2610246,462.71
1300,892289,210.8
443,750535,15.25
230,824435,5.22
1417,2719314,430.58
1130,875500,22.41
554,2424724,38.33
1184,3213311,500.78
268,581014,0.8
440,161666,28.03
743,1815586,345.33
1144,1383137,273.23
1187,598216,572.43
878,319366,243.04
389,1208872,11.28
1413,1937892,1601.13
1525,2156633,3600
1560,1997670,1589.46
1450,1742954,1558.6
1188,1360842,464.63
210,1693555,1.04
328,185876,1.56
1074,2774771,43.16
306,2002641,6.88
725,2067778,96.97
1530,3240267,3600
1022,2629987,141.34
1257,533875,244.62
982,292675,410.19
1408,2917875,1724.4
678,683525,18.28
1288,1246990,2066.68
106,1666728,0.22
407,310425,41.85
1190,2482628,232.3
1482,1609190,1002.63
793,3210770,98.72
885,2377053,194.11
233,1868450,0.94
186,1323095,1.46
416,732117,7.09
666,589614,52.59
968,677287,471.61
391,902735,47.14
1375,1615818,1183.79
1085,2505457,2583.49
1535,3111949,3600
1006,1839300,506.78
348,2951861,24.41
884,1403482,142.42
1011,3132011,576.54
1123,1222810,156.05
